Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Source_Sheet,Source_DB
Carbohydrate metabolism,5/235,2.1463678707885583E-10,6.2484548073962406E-9,0,0,98825,2200049.4510730691,PFKFB2;G6PC;PC;PCK1;FBP1,Gluconeogenesis,bioplanet
Glucose metabolism,4/61,3.9052842546226504E-10,6.2484548073962406E-9,0,0,1399.1578947368421,30310.685535038476,PFKFB2;PC;PCK1;FBP1,Gluconeogenesis,bioplanet
Glycolysis and gluconeogenesis,4/75,9.0908281149451864E-10,9.6968833226081977E-9,0,0,1122.4788732394366,23368.42174809541,G6PC;PC;PCK1;FBP1,Gluconeogenesis,bioplanet
Gluconeogenesis,3/31,3.3642024187275298E-8,2.6913619349820238E-7,0,0,1069.6607142857142,18406.17586435096,PC;PCK1;FBP1,Gluconeogenesis,bioplanet
Metabolism,5/1615,3.4135429707695216E-6,2.184667501292494E-5,0,0,91925,1157129.8206895434,PFKFB2;G6PC;PC;PCK1;FBP1,Gluconeogenesis,bioplanet
Insulin signaling pathway,3/277,2.5745660187386585E-5,1.2781834767008142E-4,0,0,107.96167883211679,1140.857454848983,G6PC;PCK1;FBP1,Gluconeogenesis,bioplanet
Fructose and mannose metabolism,2/34,2.796026355283031E-5,1.2781834767008142E-4,0,0,415.89583333333331,4360.5539462830129,PFKFB2;FBP1,Gluconeogenesis,bioplanet
Tricarboxylic acid (TCA) cycle,2/39,3.6913092111424042E-5,1.4765236844569617E-4,0,0,359.60360360360363,3670.4539413007556,PC;PCK1,Gluconeogenesis,bioplanet
HNF3B pathway,2/45,4.9287607457002442E-5,1.7524482651378644E-4,0,0,309.33333333333331,3067.9178504329798,G6PC;PCK1,Gluconeogenesis,bioplanet
Pyruvate metabolism,2/52,6.5969445889092458E-5,1.9941714032615016E-4,0,0,265.93333333333334,2559.9590632869204,PC;PCK1,Gluconeogenesis,bioplanet
PI3K pathway,2/53,6.8549641987114115E-5,1.9941714032615016E-4,0,0,260.70588235294116,2499.635583784046,G6PC;PCK1,Gluconeogenesis,bioplanet
Adipocytokine signaling pathway,2/67,1.098341891953128E-4,2.9289117118750079E-4,0,0,204.41025641025641,1863.5140133125917,G6PC;PCK1,Gluconeogenesis,bioplanet
Abacavir metabolism,1/5,1.2494733811348967E-3,3.0756267843320534E-3,0,0,1249.4375,8352.5310582869151,PCK1,Gluconeogenesis,bioplanet
Shuttle for transfer of acetyl groups from mitochondria to the cytosol,1/8,1.998563431658992E-3,4.5681449866491241E-3,0,0,713.85714285714289,4436.855317641398,PC,Gluconeogenesis,bioplanet
Abacavir transport and metabolism,1/10,2.4977078641967437E-3,5.3284434436197195E-3,0,0,555.16666666666663,3326.7706415121643,PCK1,Gluconeogenesis,bioplanet
Alanine and aspartate metabolism,1/12,2.9966530298936489E-3,5.9933060597872978E-3,0,0,454.18181818181819,2638.9141192765878,PC,Gluconeogenesis,bioplanet
Proximal tubule bicarbonate reclamation,1/23,5.7372891133286473E-3,1.0258879830234892E-2,0,0,226.96590909090909,1171.3185051583378,PCK1,Gluconeogenesis,bioplanet
Fatty acid biosynthesis,1/25,6.2349390704731535E-3,1.0258879830234892E-2,0,0,208.03125,1056.2966607689368,PC,Gluconeogenesis,bioplanet
Galactose metabolism,1/26,6.483689369798885E-3,1.0258879830234892E-2,0,0,199.7,1006.1815770136444,G6PC,Gluconeogenesis,bioplanet
Pentose phosphate pathway,1/27,6.7323898885916483E-3,1.0258879830234892E-2,0,0,192.00961538461539,960.20650187087131,FBP1,Gluconeogenesis,bioplanet
Glycolysis,1/27,6.7323898885916483E-3,1.0258879830234892E-2,0,0,192.00961538461539,960.20650187087131,PFKFB2,Gluconeogenesis,bioplanet
Hexose transport,1/42,1.045692833454581E-2,1.5210077577521179E-2,0,0,121.67073170731707,554.87821872397762,G6PC,Gluconeogenesis,bioplanet
FoxO family signaling,1/49,1.2191219830698688E-2,1.6961697155754695E-2,0,0,103.890625,457.85006440393749,G6PC,Gluconeogenesis,bioplanet
Starch and sucrose metabolism,1/53,1.3181151581290242E-2,1.7574868775053654E-2,0,0,95.879807692307693,415.06055993268222,G6PC,Gluconeogenesis,bioplanet
PPAR signaling pathway,1/69,1.7132947269309973E-2,2.1930172504716766E-2,0,0,73.26102941176471,297.93443263412689,PCK1,Gluconeogenesis,bioplanet
Transcriptional regulation of white adipocyte differentiation,1/77,1.9104092772120228E-2,2.3512729565686435E-2,0,0,65.52302631578948,259.33048567400635,PCK1,Gluconeogenesis,bioplanet
ATM-dependent DNA damage response,1/82,2.0334452124159075E-2,2.4100091406410753E-2,0,0,61.462962962962962,239.42520346643704,G6PC,Gluconeogenesis,bioplanet
Adipogenesis,1/133,3.2813749721153695E-2,3.7501428252747077E-2,0,0,37.61931818181818,128.54173618163773,PCK1,Gluconeogenesis,bioplanet
SLC-mediated transmembrane transport,1/251,6.1200327015790978E-2,6.7531395327769361E-2,0,0,19.745000000000001,55.159686221405977,G6PC,Gluconeogenesis,bioplanet
FSH regulation of apoptosis,1/263,6.4049339468301159E-2,6.8319295432854574E-2,0,0,18.829198473282442,51.744549762815979,PCK1,Gluconeogenesis,bioplanet
Developmental biology,1/420,0.10069097383003282,0.10344367348209985,0,0,11.680190930787589,26.814204012447785,PCK1,Gluconeogenesis,bioplanet
Transmembrane transport of small molecules,1/432,0.10344367348209985,0.10344367348209985,0,0,11.348027842227378,25.745588873363179,G6PC,Gluconeogenesis,bioplanet
